partido;media;min;max;desvio;var;moda;num_respostas;Ṇo
PCO;1.1;1;3;0.4;0.35;1;42;5
PSTU;1.2;1;4;0.59;0.49;1;46;1
Psol;1.4;1;4;0.69;0.47;1;47;0
PCB;1.5;1;4;0.74;0.49;1;42;5
PC do B;2.3;1;7;1.15;0.51;2;47;0
PT;2.9;1;5;0.77;0.27;3;46;1
PSB;3,0;1;5;0.84;0.28;3;46;1
PDT;3.3;2;6;0.87;0.26;3;46;1
PV;3.5;2;5;0.69;0.19;4;47;0
PPS;4,0;2;6;0.96;0.24;4;43;4
PMDB;4.2;3;6;0.64;0.15;4;46;1
PMN;4.4;3;7;1.41;0.32;3;24;23
PHS;4.5;1;7;1.59;0.36;4;23;24
PSDB;4.6;3;6;0.68;0.15;4;47;0
PT do B;4.7;1;7;1.65;0.35;5;29;18
PTB;5,0;2;7;1.32;0.27;5;46;1
PTC;5.1;2;7;1.43;0.28;5;20;27
PTN;5.1;3;7;1.29;0.25;5;19;28
PRB;5.1;3;7;1.08;0.21;5;34;13
PSL;5.2;2;7;1.32;0.25;5;20;27
PSC;5.2;3;7;1.11;0.21;5;26;21
PRTB;5.3;2;7;1.39;0.26;6;22;25
PSDC;5.4;3;7;1.18;0.22;6;22;25
PR;5.4;3;7;0.89;0.16;6;38;9
PRP;5.4;4;7;0.81;0.15;5;16;31
PP;6,0;4;7;0.78;0.13;6;47;0
DEM;6.2;5;7;0.72;0.12;6;47;0
